sentence1,sentence2,sentence3,sentence4,right_ending,wrong_ending
Lucy's grandpa was away for the day.,She always wanted to explore his Den.,She crept into the den when grandma wasn't looking.,"She went through his desk, and its drawers.",She discovered her birthday gift he wanted to giver her next week.,She decided to go outside to play.
"He picked up the pencil, haltingly at first.","Feeling the thin wood object in his hand, he closed his eyes.",Pencils always made him feel good and he began to imagine.,The first thing that popped into his mind was a baby girl.,He started to sketch a portrait.,He decided to get another pen.
Lucky was walking down the sidewalk.,A snake quickly slithered across the pavement in front of him.,He turned around and walked the other way.,He almost slipped on a patch of ice.,"Luckily, he caught his balance.",The snake was green with red stripes.
Charles paid his rent and was now penniless.,His credit card was also maxed out.,The problem started when Charles got hungry.,"He left home, walking to the university and hoping he'd see a friend.",Maybe someone would have some food to share.,He was looking forward to playing a game.
Larry had a bad habit of biting his fingernails.,His mother would constantly scold him about it.,He tried many home remedies.,"Finally, he found found bitter finger nail polish.",It helped him to come over his habit.,He found he actually liked the taste.
Jim has science fair judging tomorrow.,He is extremely nervous.,He spent three months on his project.,He is convinced he will place but is still nervous.,He takes a walk to calm his nerves.,He is calmly optimistic he’ll get a commendation.
Alex found an amazing store.,It only sold vintage clothes and accessories.,Alex loved looking at the old items on display.,She tried on a dress that fit her like a glove.,She just had to have it.,She decided it wasn’t that good looking after all.
AJ played a game of baseball with his friends.,"In the beginning, he was winning by a large lead.","Later in the game, his lead began to fall.","Eventually, his team lost the game by a wide margin.",He was disappointed they managed to squander their lead.,A good time was had by everybody.
Aaron graduated at the top of his class.,He was sure he would easily find a job.,He looked and had trouble getting interviews.,He asked potential employers why they didn't want to hire him.,He was hoping to get some pointers on how to improve his CV.,"The next day, he was offered a job."
Mary and Evan were engaged to get married.,Mary wanted to get married on a beach in Hawaii.,They told their friends about their plans.,Most of their friends said that they couldn't make the trip to Hawaii.,"Heavy-hearted, they started to look at other venues.",They were looking forward to having a special day.
Ken hated cleaning.,He decided to hire a maid.,She came over once a week and did all the cleaning.,Ken was thrilled with her work!,He decided it had been worth paying her.,He made plans to do it himself again in the near future.
Amber loves roller coasters.,She went with her sister to the Six Flags Magic Mountain theme park.,They rode the roller coasters all day.,Before leaving the park they stopped to get some food.,All the riding had made them very hungry.,They decided to just get drinks as they weren’t hungry.
The tiny green alien was made of plastic.,The girl giggled as it popped open against the fridge.,She touched the magnet gently against the metal.,The eyes popped open and its ears shot up.,It made her laugh even more.,She got some milk from the fridge.
Robert was just coming off an injury to his leg.,He was recovering nicely but he had a basketball game on Friday.,The coach let him skip gym class to go work on his footwork.,Robert got a couple extra hours of practice in and felt a lot better.,He now was well prepared for the game later that week.,Robert decided to resign from the team.
"Today, I got to spend some time with my granddaughter.",She loves to swim.,"So, we went to a gym with an indoor pool.",We had a lot of fun.,We spent the whole day together at the pool.,She then wanted to play a game of chess.
Lucy wanted a new tv.,The problem was that she could not afford it.,Luckily her brother bought her a new one.,She was very pleased.,She loved going over to his place and watching TV together.,Soon she’d be able to afford a new TV herself.
Caroline stole the keycard.,She snuck into the facility.,She took a bottle of medicine off the conveyor.,She then ran outside.,"Unfortunately, she got caught by security.","Excited it had worked, she went right back in."
Last night I was starving.,So I decided to make some pizza.,When I put it in I forgot about it.,It ended up burnt.,The kitchen was filled with smoke.,The pizza tasted great when I tried it later.
The Omaha zoo was getting new elephants in their zoo.,The family drove one hour to go to see the elephants.,Once they got their they had to walk to the back of the zoo.,One of the elephants was hiding behind the feeding shed.,They were happy the other elephants were out in plain sight.,They decided the trip had been well worth it.
Joey bought a new cell phone.,He was having fun playing with the new features.,The phone stopped working and the screen went black!,Joey realized that the battery was dead.,He hadn’t realized he had been playing with it for three hours straight.,Joey returned the phone to the shop.
Gerardo entered a hot dog eating contest.,He had never entered a contest before.,He practiced eating hot dogs for weeks.,Gerardo ate 23 hot dogs.,He didn’t even come close to the winner’s result.,He went home hungry after all.
In the 5th grade I wanted to be in band.,The instruments were too expensive for my family.,The bells were provided by the school.,I studied and practiced for hours preparing for the concert.,Being part of the band was a valuable experience.,I decided music wasn’t for me after all.
Our water service at home suddenly became weak and cloudy.,I looked out front and saw the water main had broken.,I called the city to send a repair crew to fix it.,The repair crew arrived after a short while and mended the water main.,The water supply was back to normal for my evening shower.,I brought them some food as they looked hungry.
Jenny had been overweight all of her adult life.,Jenny decided it was time for her to get in shape.,Jenny joined a gym and began eating healthy foods.,Jenny began losing weight and look good.,Jenny was happy she finally found the strength of will to shape up.,She wasn’t sure she had made a good decision.
Percy had to use the toilet.,"After finishing, he noticed the toilet was clogged.",He was unsuccessful in clearing the clog.,He had to call a plumber.,He found explaining the problem on the phone quite embarrassing.,The plumber told him this fell outside his expertise.
Jim decided to get a credit card.,Jim went shopping and used the credit card frequently.,Jim spent thousands of dollars with his credit card.,Jim realized he was in debt from his credit card spending.,He began to realize why many people had spending issues with credit cards.,"As the holidays were coming up, he bought some gifts with his credit card."
